,Node 1,Node 2,R (% on 100MVA),X (% on 100MVA),B (% on 100MVA),Winter Rating (MVA),Dataframe,Node 1 bus_id,Node 2 bus_id,Voltage (kV) Node 1,Voltage (kV) Node 2,Year,Status
128,CHSI21,CHSI1A,0.2264,12.2479,-0.6062,153,nget_tx,135,134,275,132,,
129,CHSI21,CHSI1B,0.2264,12.2479,-0.6062,126,nget_tx,135,136,275,132,,
130,CILF41,CILF2A,0.017,1.6132,-5.1203,750,nget_tx,148,146,400,275,,
131,CILF41,CILF2B,0.017,1.6132,-5.1203,750,nget_tx,148,147,400,275,,
132,CITR41,CITR11,0.1373,8.1976,-0.1719,278,nget_tx,151,150,400,132,,
133,CITR41,CITR11,0.1229,8.3873,-0.1147,269,nget_tx,151,150,400,132,,
134,CITR41,CITR12,0.0997,8.0088,-0.093,266,nget_tx,151,149,400,132,,
135,CONQ41,CONQ11,0.1044,7.8701,-0.103,261,nget_tx,153,154,400,132,,
136,CONQ41,CONQ11,0.1036,7.8606,-0.1003,259,nget_tx,153,154,400,132,,
137,CONQ41,CONQ12,0.1045,7.8806,-0.0998,240,nget_tx,153,156,400,132,,
138,CONQ41,CONQ13,0.1057,7.9352,-0.339,240,nget_tx,153,155,400,132,,
139,COVE21,COVE11,0.1623,8.097,-1.5978,273,nget_tx,162,160,275,132,,
140,COVE21,COVE11,0.1623,8.097,-1.5978,272,nget_tx,162,160,275,132,,
141,COVE21,COVE12,0.1623,8.097,-1.5978,266,nget_tx,162,161,275,132,,
142,COWL41,COWL11,0.1307,7.9515,-0.1098,278,nget_tx,166,165,400,132,,
143,COWL41,COWL11,0.1847,8.1296,-0.2979,269,nget_tx,166,165,400,132,,
144,COWL41,COWL11,0.1847,8.1296,-0.2979,269,nget_tx,166,165,400,132,,
145,COWL41,COWL12,0.1847,8.1296,-0.2979,269,nget_tx,166,164,400,132,,
146,COWL41,COWL12,0.1847,8.1296,-0.2979,269,nget_tx,166,164,400,132,,
147,CREB41,CREB11,0.1621,8.0984,-0.0747,253,nget_tx,171,174,400,132,,
148,CREB41,CREB11,0.1621,8.0984,-0.0747,240,nget_tx,171,174,400,132,,
149,CREB41,CREB12,0.1621,8.0984,-0.0747,253,nget_tx,171,169,400,132,,
