,Node 1,Node 2,OHL Length (km),Cable Length (km),Circuit Type,R (% on 100MVA),X (% on 100MVA),B (% on 100MVA),Winter Rating (MVA),Spring Rating (MVA),Summer Rating (MVA),Autumn Rating (MVA),Dataframe,Node 1 bus_id,Node 2 bus_id,Voltage (kV) Node 1,Voltage (kV) Node 2
312,GRAI41,KEMS41,7.992,1.93,Composite,0.0106,0.1512,34.7588,2643.0,2570.0,2397.0,2570.0,nget_circuits,259,365,400.0,400.0
313,GRAI41,KINO41,11.507,0.8,parallel Composite,0.0126,0.2028,18.5632,3326.0,3160.0,2633.0,2813.0,nget_circuits,259,369,400.0,400.0
314,GRAI41,MEDW41,2.5,0.0,OHL,0.0054,0.0513,1.3945,1390.0,1390.0,1390.0,1390.0,nget_circuits,259,433,400.0,400.0
315,GRAI41,TILB41,26.642,2.049,Composite,0.0302,0.4832,61.2333,2003.0,2003.0,1939.0,2003.0,nget_circuits,259,708,400.0,400.0
316,GREN41,MARH4A,28.74,0.0,OHL,0.0522,0.5717,16.6594,2514.0,2439.0,2314.0,2439.0,nget_circuits,268,428,400.0,400.0
317,GREN41,MARH4B,28.56,0.0,OHL,0.052,0.5682,16.5517,2009.0,1911.0,1746.0,1911.0,nget_circuits,268,429,400.0,400.0
318,GREN41,MILL4A,26.0,0.0,OHL,0.0473,0.5173,15.0681,2009.0,1911.0,1746.0,1911.0,nget_circuits,268,440,400.0,400.0
319,GREN41,MILL4B,26.0,0.0,OHL,0.0473,0.5173,15.0681,2009.0,1911.0,1746.0,1911.0,nget_circuits,268,441,400.0,400.0
320,GRIW41,KEAD41,49.379,0.0,OHL,0.047,0.873,32.3362,3075.0,2876.0,2663.0,2876.0,nget_circuits,274,353,400.0,400.0
321,GRIW41,SHBA41,12.673,0.0,OHL,0.0127,0.2284,8.1498,2860.0,2720.0,2484.0,2720.0,nget_circuits,274,635,400.0,400.0
322,GRSA21,LACK2A,1.016,0.15,Composite,0.0049,0.0466,1.8737,1175.0,1119.0,1023.0,1119.0,nget_circuits,271,380,275.0,275.0
