,Site Code,Site Name,Voltage (kV),Region
428,AYR-,AYR,33,spt_
429,AYRS,AYRSHIRE GRID COLLECTOR,400,spt_
430,BAGA,BATHGATE,132,spt_
431,BAGA,BATHGATE,33,spt_
432,BAIN,BAINSFORD,132,spt_
433,BAIN,BAINSFORD,33,spt_
434,BENB,BENBRACK WIND FARM,132,spt_
435,BENB,BENBRACK WIND FARM,33,spt_
436,BERW,BERWICK,132,spt_
437,BERW,BERWICK,33,spt_
438,BLAH,BLACKHILL,132,spt_
439,BLAH,BLACKHILL,33,spt_
440,BLCW,BLACKCRAIG,132,spt_
441,BLCW,BLACKCRAIG,33,spt_
442,BLKL,BLACKLAW,132,spt_
443,BLKL,BLACKLAW,33,spt_
444,BLKS,BLACKCRAIG SOUTH,33,spt_
445,BLLX,BLACKLAW EXTENSION,132,spt_
446,BLLX,BLACKLAW EXTENSION,33,spt_
447,BONB,BONNYBRIDGE BORDER NODE,400,spt_
448,BONB,BONNYBRIDGE BORDER NODE,275,spt_
449,BONN,BONNYBRIDGE,400,spt_
450,BONN,BONNYBRIDGE,275,spt_
451,BONN,BONNYBRIDGE,132,spt_
452,BONN,BONNYBRIDGE,33,spt_
453,BPGR,BP GRANGEMOUTH,33,spt_
454,BRAP,BRAEHEAD PARK,132,spt_
455,BRAP,BRAEHEAD PARK,33,spt_
456,BREE,BREEZY HILL,132,spt_
457,BRNX,BRANXTON,400,spt_
458,BROC,BROKEN CROSS,132,spt_
459,BROC,BROKEN CROSS,33,spt_
460,BROX,BROXBURN,132,spt_
461,BROX,BROXBURN,33,spt_
462,BUSB,BUSBY,275,spt_
463,CAFA,CARSFAD,132,spt_
464,CAFA,CARSFAD,11,spt_
465,CALD,CALDER WATER,33,spt_
466,CATY,CARNTYNE,132,spt_
467,CATY,CARNTYNE,33,spt_
468,CCSS,CUMBERHEAD COLLECTOR,132,spt_
469,CCSS,CUMBERHEAD COLLECTOR,33,spt_
470,CHAP,CHAPELCROSS,132,spt_
471,CHAP,CHAPELCROSS,33,spt_
472,CHAS,CHARLOTTE STREET,275,spt_
473,CHAS,CHARLOTTE STREET,33,spt_
474,CHMO,CHIRMORIE,132,spt_
475,CHMO,CHIRMORIE,33,spt_
476,CLAU,CLAUCHRIE,132,spt_
477,CLAU,CLAUCHRIE,33,spt_
478,CLFO,CLOICH FOREST,132,spt_
479,CLFO,CLOICH FOREST,33,spt_
480,CLYM,CLYDE'S MILL,400,spt_
481,CLYM,CLYDE'S MILL,275,spt_
482,CLYM,CLYDE'S MILL,33,spt_
483,CLYN,CLYDE NORTH,275,spt_
484,CLYN,CLYDE NORTH,33,spt_
485,CLYS,CLYDE SOUTH,275,spt_
486,CLYS,CLYDE SOUTH,33,spt_
487,COAB,COALBURN BATTERY STORAGE FACILITY,400,spt_
488,COAB,COALBURN BATTERY STORAGE FACILITY,33,spt_
489,COAL,COALBURN,400,spt_
490,COAL,COALBURN,132,spt_
491,COAL,COALBURN,33,spt_
492,COAN,COALBURN NORTH,400,spt_
493,COAT,COATBRIDGE,275,spt_
494,COAT,COATBRIDGE,33,spt_
495,COCK,COCKENZIE,400,spt_
496,COCK,COCKENZIE,275,spt_
497,COCK,COCKENZIE,33,spt_
498,COUS,COUSLAND,400,spt_
499,COYL,COYLTON,275,spt_
500,COYL,COYLTON,132,spt_
501,COYL,COYLTON,33,spt_
502,COYT,COYLTON TEE,132,spt_
503,COYW,COYLTON WEST,275,spt_
504,CRCK,CARRICK,275,spt_
505,CRCK,CARRICK,33,spt_
506,CRDY,CROSSDYKES,33,spt_
507,CROE,CROOKEDSTANE,33,spt_
508,CROO,CROOKSTON,132,spt_
509,CROO,CROOKSTON,33,spt_
510,CRUA,CRUACHAN,275,spt_
511,CRYR,CRYSTAL RIG,400,spt_
512,CRYR,CRYSTAL RIG,132,spt_
513,CRYR,CRYSTAL RIG,33,spt_
514,CULR,CULROSS,400,spt_
515,CULR,CULROSS,275,spt_
516,CUMB,CUMBERNAULD,132,spt_
517,CUMB,CUMBERNAULD,33,spt_
518,CUMH,CUMBERHEAD WF SUBSTATION,33,spt_
519,CUMW,CUMBERHEAD WEST,132,spt_
520,CUMW,CUMBERHEAD WEST,33,spt_
521,CUPA,CUPAR,132,spt_
522,CUPA,CUPAR,33,spt_
523,CURR,CURRIE,400,spt_
524,CURR,CURRIE,275,spt_
525,CURR,CURRIE,132,spt_
526,CURR,CURRIE,33,spt_
527,CURR,CURRIE,11,spt_
528,DAER,DAER WINDFARM,132,spt_
529,DAER,DAER WINDFARM,33,spt_
530,DALB,DALMALLY BORDER NODE,275,spt_
531,DALL,DALMALLY,275,spt_
532,DALM,DALMARNOCK,275,spt_
533,DALM,DALMARNOCK,132,spt_
534,DALM,DALMARNOCK,33,spt_
535,DALQ,DALQUHANDY,33,spt_
536,DALS,DALSWINTON,33,spt_
537,DENN,DENNY NORTH,400,spt_
538,DENN,DENNY NORTH,275,spt_
539,DENN,DENNY NORTH,132,spt_
540,DENN,DENNY NORTH,33,spt_
541,DESA,DERSALLOCH,132,spt_
542,DESA,DERSALLOCH,33,spt_
543,DEVM,DEVOL MOOR,400,spt_
544,DEVM,DEVOL MOOR,132,spt_
545,DEVM,DEVOL MOOR,33,spt_
546,DEVO,DEVONSIDE,132,spt_
547,DEVO,DEVONSIDE,33,spt_
548,DEWP,DEWAR PLACE,275,spt_
549,DEWP,DEWAR PLACE,33,spt_
550,DONO,DOUGLAS NORTH COLLECTOR,132,spt_
551,DONO,DOUGLAS NORTH COLLECTOR,33,spt_
552,DOWE,DOUGLAS WEST,33,spt_
553,DRCR,DRUMCROSS,132,spt_
554,DRCR,DRUMCROSS,33,spt_
555,DRUM,DRUMCHAPEL,275,spt_
556,DRUM,DRUMCHAPEL,33,spt_
557,DUMF,DUMFRIES,132,spt_
558,DUMF,DUMFRIES,33,spt_
559,DUNB,DUNBAR,132,spt_
560,DUNB,DUNBAR,33,spt_
561,DUNE,DUNLAW EXTENSION,132,spt_
562,DUNE,DUNLAW EXTENSION,33,spt_
563,DUNF,DUNFERMLINE,132,spt_
564,DUNF,DUNFERMLINE,33,spt_
565,DUNH,DUNHILL,132,spt_
566,DUNH,DUNHILL,33,spt_
567,DWEX,DOUGLAS WEST EXTENSION,33,spt_
568,EARB,EARLSBURN,33,spt_
569,EAST,EARLSTOUN,132,spt_
570,EAST,EARLSTOUN,11,spt_
571,ECCF,ECCLEFECHAN,132,spt_
572,ECCL,ECCLES,400,spt_
573,ECCL,ECCLES,132,spt_
574,ECCL,ECCLES,33,spt_
575,EERH,EASTERHOUSE,275,spt_
576,EERH,EASTERHOUSE,33,spt_
577,EKIL,EAST KILBRIDE,275,spt_
578,EKIL,EAST KILBRIDE,33,spt_
579,EKIS,EAST KILBRIDE SOUTH,275,spt_
580,EKIS,EAST KILBRIDE SOUTH,33,spt_
581,ELDE,ELDERSLIE,132,spt_
582,ELDE,ELDERSLIE,33,spt_
583,ELVA,ELVANFOOT,400,spt_
584,ELVA,ELVANFOOT,275,spt_
585,ELVA,ELVANFOOT,132,spt_
586,ELVA,ELVANFOOT,33,spt_
587,ELVN,ELVANFOOT NORTH 400KV,400,spt_
588,ENHI,ENOCH HILL WIND FARM,132,spt_
589,ENHI,ENOCH HILL WIND FARM,33,spt_
590,ERSK,ERSKINE,132,spt_
591,ERSK,ERSKINE,33,spt_
592,ESST,ESSENSIDE,132,spt_
593,EUCH,EUCHANHEAD,132,spt_
594,EUCH,EUCHANHEAD,33,spt_
595,EWEH,EWE HILL,132,spt_
596,EWEH,EWE HILL,33,spt_
597,EXON,EXXON MOBIL,33,spt_
598,FALL,FALLAGO,400,spt_
599,FALL,FALLAGO,33,spt_
600,FASI,FAW SIDE,132,spt_
601,FELL,FELL WIND FARM,132,spt_
602,FELL,FELL WIND FARM,33,spt_
603,FIGS,FIFE GRID SERVICES,275,spt_
604,FINN,FINNIESTON,132,spt_
605,FINN,FINNIESTON,33,spt_
606,GALA,GALASHIELS,132,spt_
607,GALA,GALASHIELS,33,spt_
608,GALN,GALA NORTH,400,spt_
609,GALN,GALA NORTH,132,spt_
610,GARB,GARELOCH BOUNDARY,132,spt_
611,GARE,GARELOCH,132,spt_
612,GAWH,GALAWHISTLE,132,spt_
613,GAWH,GALAWHISTLE,33,spt_
614,GBRN,GREENBURN,132,spt_
615,GHPS,GLENMUCKLOCH HYDRO PUMPED STORAGE,400,spt_
616,GHPS,GLENMUCKLOCH HYDRO PUMPED STORAGE,132,spt_
617,GHPS,GLENMUCKLOCH HYDRO PUMPED STORAGE,33,spt_
618,GIFF,GIFFNOCK,275,spt_
619,GIFF,GIFFNOCK,33,spt_
620,GLAP,GLEN APP,33,spt_
621,GLGL,GLENGLASS,132,spt_
622,GLGL,GLENGLASS,33,spt_
623,GLLE,GLENLEE,132,spt_
624,GLLE,GLENLEE,11,spt_
625,GLLU,GLENLUCE,132,spt_
626,GLLU,GLENLUCE,33,spt_
627,GLMU,GLENMUCKLOCH,33,spt_
628,GLNI,GLENNISTON,132,spt_
629,GLNI,GLENNISTON,33,spt_
