Node,Space,23/24,24/25,25/26,26/27,27/28,28/29,29/30,30/31
MANN40,,149,153,190,241,223,226,231,236
MAYB10,,1,1,1,1,1,1,1,1
MEAD10,,9,9,9,8,9,9,9,10
MELK40_SEP,,12,30,30,30,30,30,30,30
MELK40_WPD,,76,76,76,76,76,76,76,76
MILC10,,6,6,6,6,6,6,6,6
MILH2A_EPN,,23,55,72,75,78,80,83,85
MILH2A_LPN,,32,33,98,99,101,103,104,106
MILH2B_EPN,,291,292,296,304,310,315,321,333
MILH2B_LPN,,9,9,19,20,21,21,22,23
MITY40,,1,1,0,0,0,0,0,0
MYBS11,,11,13,15,16,18,20,22,23
MYBS12,,163,164,166,168,171,176,182,190
NAIR1Q,,405,416,458,467,484,500,525,557
NAIR1R,,23,23,23,23,23,23,23,24
NEAR2Q,,1,1,1,1,1,1,1,1
NECH20,,379,390,402,408,417,428,443,460
NEEP20,,311,320,325,331,338,349,360,402
NETS10,,237,239,243,246,251,259,266,275
NEWX20,,18,18,18,19,19,19,20,20
NFLE40,,30,25,22,25,28,32,36,39
NHYD20,,254,257,260,266,273,285,297,313
NINF40,,72,72,73,75,77,80,82,90
NORL2A,,23,23,24,26,29,32,35,38
NORL2B,,133,133,133,133,133,133,133,133
NORM40,,17,20,23,26,29,33,36,40
NORT20,,198,202,207,214,221,230,241,255
NURS40,,55,71,87,104,121,180,198,218
NURS4A,,108,141,142,140,145,150,154,159
OCKH20,,88,88,88,89,89,90,91,97
OFFE20,,264,262,271,288,311,336,358,382
OLDB20,,17,24,24,24,24,24,24,24
ORRI10,,7,8,8,8,9,9,10,10
OSBA40,,14,14,14,13,10,10,13,14
PADI40,,93,94,96,101,105,109,116,126
PAFB4B,,34,35,36,37,38,40,41,42
PAIS1Q,,-3,-3,-3,-3,-3,-12,-21,-21
PAIS1R,,19,20,6,80,158,158,158,158
PART1Q,,76,78,81,85,89,93,97,103
PART1R,,38,39,40,42,44,46,48,51
PEHE10,,122,124,127,130,133,136,139,143
PEHG1Q,,100,100,106,109,112,113,116,122
PEHG1R,,23,23,23,23,23,23,23,24
PELH40,,195,202,210,229,245,256,266,276
PEMB40,,387,393,335,345,360,376,392,411
PENN20,,12,17,23,28,34,40,46,52
PENT40,,3,3,3,3,3,3,4,3
PERS10,,7,8,8,8,9,9,10,10
PEWO40,,97,99,102,105,108,111,115,121
PITS20,,369,437,515,535,575,615,651,689
POOB2Q,,6,6,31,31,31,32,32,32
POOB2R,,283,287,293,302,315,326,336,349
POPP20,,2,2,2,2,2,2,2,2
PORA1Q,,100,100,106,109,112,113,116,122
PORA1R,,34,35,36,37,38,39,40,41
PORD2Q,,9,13,38,38,38,38,39,39
PORD2R,,18,21,78,81,83,86,89,92
PUDM40,,190,205,217,229,243,258,272,291
PYLE20,,26,27,27,28,29,30,32,35
QUOI10,,71,122,193,194,195,197,198,200
RAIN20_SPM,,258,341,344,430,440,453,467,487
RANN1Q,,191,198,204,293,305,319,334,354
RANN1R,,34,35,36,37,38,39,40,41
RASS40,,26,27,27,28,29,30,32,35
RATS40,,63,72,83,93,105,118,130,145
RAYL40,,476,490,501,517,533,548,570,599
REBR20,,18,18,18,19,19,19,20,20
REDH10,,570,574,579,600,622,646,673,700
REDM1Q,,484,486,491,497,508,518,529,552
REDM1R,,435,442,455,473,505,530,538,547
ROCH20,,6,6,6,6,4,4,4,4
ROCK40,,-6,-6,-6,-6,-6,-6,-6,-6
ROTI20,,11,11,11,11,11,11,11,11
RUGE40,,15,15,45,46,46,46,46,47
RYEH40,,12,14,16,19,26,33,42,49
RYEH4A,,9,9,19,20,21,21,22,23
SACO1Q,,-17,-17,-17,-17,-17,-17,-17,-17
SACO1R,,52,55,58,62,68,74,82,92
SAEN20,,3,2,2,2,2,2,2,2
SAFO,,-18,-18,-18,-18,-18,-18,-18,-18
SALH20,,1,3,3,3,3,3,3,3
SANX1Q,,25,26,38,70,106,140,167,194
SANX1R,,95,95,96,102,103,106,107,112
SBAR40,,76,81,83,85,87,89,93,99
SEAB40,,73,101,128,130,133,139,145,151
SELL40,,21,24,26,89,92,96,99,102
SFEG1Q,,161,164,168,172,212,254,264,275
SFEG1R,,435,442,455,473,505,530,538,547
SFIL1Q,,14,19,22,56,60,64,67,71
SHEC20,,3,2,2,2,2,2,2,2
SHIN10,,11,11,11,11,11,11,11,11
SHRE4A,,15,15,45,46,46,46,46,47
SHRU2Q,,145,175,177,184,186,191,200,213
SHRU2R,,6,6,6,6,6,7,7,7
SIGH2Q,,468,472,483,494,506,553,575,606
SIGH2R,,6,6,6,6,6,7,7,7
SJOW20,,307,316,323,328,336,346,359,372
SJOW40,,13,13,29,29,29,29,36,36
SKLG20,,495,499,505,515,531,540,564,597
SLOY10,,14,19,22,56,60,64,67,71
SMAN20,,45,48,105,110,114,120,125,130
SPAV1Q,,34,39,41,45,49,54,58,62
SPAV1R,,150,153,156,163,165,168,175,180
SPEN4A,,24,25,25,27,28,29,31,33
SSHI20,,1,3,3,3,3,3,3,3
STAH4A,,365,375,377,378,380,392,405,423
STAH4B,,389,420,466,485,503,517,532,559
STAL20,,12,43,47,52,57,63,68,74
STAY40,,395,400,408,417,426,438,446,477
STEW20,,23,23,24,26,29,32,35,38
STEW2A,,16,17,17,17,18,18,19,19
STHA2A,,22,22,22,22,22,23,23,24
STHA2B,,229,256,263,268,274,283,292,304
STIR1S,,22,22,22,22,22,23,23,24
STIR1T,,95,95,96,102,103,106,107,112
STLE10_SPD,,46,46,47,48,48,50,51,52
STRI1Q,,12,12,11,11,11,12,12,12
STRI1R,,503,520,541,550,561,575,592,636
SUND40,,0,0,69,72,76,80,85,90
SWAN20_SWA,,-241,-232,-219,-202,-178,-152,-126,-95
TARL1Q,,12,12,11,11,11,12,12,12
TARL1R,,3,3,3,3,3,3,3,3
TAUN4A,,24,28,33,39,44,49,54,60
TAUN4B,,15,15,15,15,15,16,16,17
