Connection Site,etys_sub_map,HOST TO,Project ID,Project No
Galawhistle 132/33kV Substation,0,SPT,a0l4L0000005ios,PRO-000161
Galloper North 132/33kV Substation,LEIS1,NGET,a0l4L0000005iot,PRO-000162
Garn Fach 132kV Substation,0,NGET,a0l4L0000005iv1,PRO-001157
Garvary 132kV Substation,0,SHET,a0l4L0000005iyq,PRO-001927
Gatroben Offshore Substation,0,NGET,a0l4L0000005idW,PRO-001675
Giffnock GSP,0,SPT,a0l8e0000011z3P,PRO-003566
Gills Bay 132kV,0,SHET,a0l8e0000010wfR,PRO-002758
Gills Bay GSP,0,SHET,a0l4L0000005isu,PRO-000336-1
Gills Bay GSP,0,SHET,a0l4L0000005isu,PRO-000336-2
Gills Bay GSP,0,SHET,a0l4L0000005isu,PRO-000336-3
Gills Bay GSP,0,SHET,a0l4L0000005isu,PRO-000336-4
Glen App and Loch Ree 132/33kV Substation,0,SPT,a0l4L0000005ima,PRO-000063
Glen Kyllachy Wind Farm Substation,0,SHET,a0l4L0000005iov,PRO-000165
Glen Ullinish 132/33kV Substation,0,SHET,a0l4L0000005isH,PRO-000298
Glen Ullinish Extension 132/33kV Substation,0,SHET,a0l4L0000005iYi,PRO-001346
Glendye Wind Farm Substation,0,SHET,a0l4L0000005iyy,PRO-001389
Glenglass 132/33kV Substation,0,SPT,a0l4L0000005iMU,PRO-002455
Glenglass 132/33kV Substation,0,SPT,a0l4L0000005iZ7,PRO-001365
Glenglass 132/33kV Substation,0,SPT,a0l4L0000005irL,PRO-000267
Glenluce 132/33kV Substation,0,SPT,a0l4L0000005iUe,PRO-002450
Glenluce GSP,0,SPT,a0l4L0000005iV2,PRO-000043
Glenmoriston GSP,0,SHET,a0l4L0000005imq,PRO-000083
Glenmoriston GSP,0,SHET,a0l4L0000005iVY,PRO-000173
Glenmuckloch 132kV Substation,0,SPT,a0l4L0000005isI,PRO-000299
Glenmuckloch 132kV Substation,0,SPT,a0l4L0000005iwR,PRO-000300
Glenniston GSP,0,SPT,a0l4L0000005iQy,PRO-000887
Glenrothes 275/33kV,0,SPT,a0l4L0000005iTw,PRO-002089
Glenrothes 275/33kV,0,SPT,a0l8e000000TPJU,PRO-003252
Glenrothes GSP,0,SPT,a0l4L0000005iVQ,PRO-000126
Glenrothes GSP,0,SPT,a0l4L0000005iQ8,PRO-001272
Glentaggart WF 33kV Substation,0,SPT,a0l4L0000005ik6,PRO-001595
Gordonbush GSP,0,SHET,a0l4L0000005ipO,PRO-000518
Govan GSP,0,SPT,a0l8e000000TPAN,PRO-003168
Grain 400kV Substation,GRAI4,NGET,a0l4L0000005im4,PRO-000049
Grain 400kV Substation,GRAI4,NGET,a0l8e0000010wOx,PRO-002578
Grain 400kV Substation,GRAI4,NGET,a0l4L0000005iq1,PRO-000203
Grain North 132kV Substation,GRAI1,NGET,a0l4L0000005j1S,PRO-001524
Grain South 132kV Substation,GRAI1,NGET,a0l4L0000005ivo,PRO-000449
Grain West 400kV Substation,GRAW4,NGET,a0l4L0000005iuG,PRO-002223
Grangemouth 275/33kV,0,SPT,a0l8e000000TPJe,PRO-003254
Grangemouth 275/33kV,0,SPT,a0l8e000000TPHT,PRO-003234
Grangemouth Ineos GSP,0,SPT,a0l4L0000005iRI,PRO-001283
Greenburn Mixed Technology 132kV Substation,0,SPT,a0l4L0000005ibV,PRO-001006
Greenland 132kV/33kV Substation,0,SHET,a0l4L0000005ikg,PRO-002293
Grendon 400kV Substation,GREN4,NGET,a0l4L0000005iOt,PRO-001649
Grendon 400kV Substation,GREN4,NGET,a0l8e0000010wVy,PRO-002651
Grendon 400kV Substation,GREN4,NGET,a0l4L0000005iih,PRO-001568
Grendon 400kV Substation,GREN4,NGET,a0l8e000000exlW,PRO-003742
Gretna 400kV Substation,0,SPT,a0l4L0000005ikk,PRO-002243
Gretna 400kV Substation,0,SPT,a0l8e0000011zPm,PRO-003582
Gretna 400kV Substation,0,SPT,a0l4L0000005il0,PRO-002367
Gretna 400kV Substation,0,SPT,a0l4L0000005ibs,PRO-001444
Gretna Green 132 kV Substation,0,SPT,a0l8e0000010xik,PRO-003096
Gretna Green 132 kV Substation,0,SPT,a0l8e000000f7BU,PRO-003997
Greystones A 275kV Substation,GRSB2,NGET,a0l4L0000005ize,PRO-000228
Greystones A and B 275kV Substations,GRSA2,NGET,a0l4L0000005ibW,PRO-001048-1
Greystones A and B 275kV Substations,GRSA2,NGET,a0l4L0000005ibW,PRO-001048-2
Greystones A and B 275kV Substations,GRSA2,NGET,a0l4L0000005ibW,PRO-001048-3
Greystones A and B 275kV Substations,GRSA2,NGET,a0l4L0000005ibW,PRO-001048-4
Greystones A and B 275kV Substations,GRSA2,NGET,a0l4L0000005ibW,PRO-001048-5
Greystones A and B 275kV Substations,GRSA2,NGET,a0l4L0000005ibW,PRO-001048-6
Griffin 132/33kV Substation,0,SHET,a0l4L0000005ioy,PRO-000169
Grimsby West 400kV Substation,GRIW4,NGET,a0l8e0000010x1N,PRO-003047
Grimsby West 400kV Substation,GRIW4,NGET,a0l4L0000005iv5,PRO-002251
Grimsby West 400kV Substation,GRIW4,NGET,a0l8e0000010wUC,PRO-002633
Grimsby West 400kV Substation,GRIW4,NGET,a0l8e000000f4mv,PRO-003867
Grimsby West 400kV Substation,GRIW4,NGET,a0l8e0000010wys,PRO-003021
Grimsby West GSP,GRIW1,NGET,a0l8e0000012gbe,PRO-004434
Gunfleet Sands 33/132kV Offshore,BRFO1,OFTO,a0l4L0000005iqi,PRO-000229
Gunfleet Sands 33/132kV Offshore,BRFO1,OFTO,a0l4L0000005iqJ,PRO-000224
Gwyddelwern 400kV Substation,0,NGET,a0l4L0000005ihP,PRO-001550
Gwyddelwern 400kV Substation,0,NGET,a0l8e000000ViJW,PRO-004347
Gwyddelwern 400kV Substation,0,NGET,a0l4L0000005ifq,PRO-001511
Gwyddelwern 400kV Substation,0,NGET,a0l8e000000f4ZA,PRO-003851
Gwynt y Mor 132/33kV Offshore Substation,BODE4,OFTO,a0l4L0000005iq7,PRO-000208
Hadleigh 400kV Substation,0,NGET,a0l8e0000010wVF,PRO-002644
Hagshaw Repowering Phase 3 132kV,0,SPT,a0l4L0000005iwU,PRO-002306
Halbeath 132kV Substation,0,SPT,a0l4L0000005ivD,PRO-002266
Hams Hall 400kV Substation,HAMH4,NGET,a0l4L0000005iir,PRO-001765-1
Hams Hall 400kV Substation,HAMH4,NGET,a0l4L0000005iir,PRO-001765-2
Hams Hall 400kV Substation,HAMH4,NGET,a0l8e0000010wab,PRO-002702
Hams Hall 400kV Substation,HAMH4,NGET,a0l4L0000005iey,PRO-001735-1
Hams Hall 400kV Substation,HAMH4,NGET,a0l4L0000005iey,PRO-001735-2
Hare Craig 33kV Substation,0,SPT,a0l4L0000005iys,PRO-000940
Hare Hill Repowering 132/33kV Substation,0,SPT,a0l8e000000f6A6,PRO-003963
Harestanes 132kV Substation,0,SPT,a0l4L0000005imb,PRO-000064-1
Harestanes 132kV Substation,0,SPT,a0l4L0000005imb,PRO-000064-2
Harker 400kV Substation,HARK4,NGET,a0l4L0000005ia7,PRO-002010
Harker 400kV Substation,HARK4,NGET,a0l4L0000005igB,PRO-001709
Harker 400kV Substation,HARK4,NGET,a0l8e0000010wSp,PRO-002615
Harker 400kV Substation,HARK4,NGET,a0l8e000000f4nU,PRO-003873
Harker 400kV Substation,HARK4,NGET,a0l8e000001Hxbl,PRO-004278
Harker 400kV Substation,HARK4,NGET,a0l8e000000f5rS,PRO-003940
Harker 400kV Substation,HARK4,NGET,a0l4L0000005iu0,PRO-001065
Harlaston 400kV Substation,0,NGET,a0l8e000000f40f,PRO-003814
Harting Rig 132/33kV Substation,0,SPT,a0l4L0000005isK,PRO-000303
Hartlepool 275kV Substation,HATL2,NGET,a0l4L0000005ioK,PRO-000139
Hartmoor 275kV Substation,HARM2,NGET,a0l8e0000010wOO,PRO-002570
Hartmoor 275kV Substation,HARM2,NGET,a0l8e000000ew2x,PRO-003650
Hartmoor 275kV Substation,HARM2,NGET,a0l4L0000005ieL,PRO-001055
Hatfield 33kV Substation,ELST1,NGET,a0l4L0000005iM3,PRO-002372
Hawick 132kV Substation,0,SPT,a0l8e000001HoYj,PRO-004083
Hawick GSP,0,SPT,a0l4L0000005iYM,PRO-001936
Hawick GSP,0,SPT,a0l4L0000005iQo,PRO-000897
Hawkers Hill,0,NGET,a0l4L0000005iUD,PRO-001751
Hawkwood Windfarm 33kV Substation,0,SPT,a0l8e000000TPcU,PRO-003450
Hawthorn Pit 400kV Substation,HAWP4,NGET,a0l8e000000exSJ,PRO-003722
Hawthorn Pit 400kV Substation,HAWP4,NGET,a0l8e0000011xxt,PRO-003492
Hawthorn Pit 400kV Substation,HAWP4,NGET,a0l4L0000005ilD,PRO-002282
Hawthorn Pit 400kV Substation,HAWP4,NGET,a0l4L0000005igH,PRO-001718
Hawthorn Pit 400kV Substation,HAWP4,NGET,a0l8e000000f4PD,PRO-003844
Hawthorn Pit 400kV Substation,HAWP4,NGET,a0l8e000000eySm,PRO-003757
Hawthorn Pit GSP,HAWP6,NGET,a0l8e000000TP9o,PRO-003164
Heathland 132/33kV Substation,0,SPT,a0l4L0000005igy,PRO-001156
Helensburgh 33kV Substation,0,SPT,a0l4L0000005iUg,PRO-002419
Hesta Head 132/33kV Substation,0,SHET,a0l4L0000005iyX,PRO-000308
Heysham 132kV Substation,HEYS1,NGET,a0l8e0000011ymW,PRO-003544
Heysham 400kV Substation,HEYS4,NGET,a0l4L0000005igC,PRO-001710
Heysham GSP,HEYS1,NGET,a0l4L0000005ioL,PRO-000140
High Marnham 400kV Substation,HIGM4,NGET,a0l4L0000005ip9,PRO-000531
High Marnham 400kV Substation,HIGM4,NGET,a0l4L0000005ivv,PRO-002194
High Marnham 400kV Substation,HIGM4,NGET,a0l8e000000TPcj,PRO-003452
High Marnham 400kV Substation,HIGM4,NGET,a0l4L0000005iY7,PRO-001845
High Marnham 400kV Substation,HIGM4,NGET,a0l4L0000005ivU,PRO-002319
High Marnham 400kV Substation,HIGM4,NGET,a0l4L0000005izs,PRO-001599
High Marnham GSP,HIGM2,NGET,a0l4L0000005iiv,PRO-001769
High Marnham GSP,HIGM2,NGET,a0l4L0000005irE,PRO-000250-1
High Marnham GSP,HIGM2,NGET,a0l4L0000005irE,PRO-000250-2
Hinkley Point 400kV Substation,HINP4,NGET,a0l4L0000005ioM,PRO-000141
Hinkley Point 400kV Substation,HINP4,NGET,a0l4L0000005ioN,PRO-000142-1
Hinkley Point 400kV Substation,HINP4,NGET,a0l4L0000005ioN,PRO-000142-2
Hinkley Point 400kV Substation,HINP4,NGET,a0l4L0000005igJ,PRO-001720
Holes Bay Battery Storage,0,NGET,a0l4L0000005iQB,PRO-001269
Hollandmey Renewable Energy Development132/33kV Substation,0,SHET,a0l4L0000005ibY,PRO-001094
Hope 400kV Substation,0,NGET,a0l8e000000exRz,PRO-003718
Hopsrig Collector 132/33kV Substation,0,SPT,a0l4L0000005igL,PRO-001722
Hopsrig Collector 132/33kV Substation,0,SPT,a0l4L0000005ipd,PRO-000543
Hopsrig Collector 132/33kV Substation,0,SPT,a0l4L0000005isf,PRO-000318
Hopsrig Collector 132/33kV Substation,0,SPT,a0l4L0000005isN,PRO-000306
Hornsea Offshore Platform 3 Substation,NORM4,NGET,a0l4L0000005in7,PRO-000434-1
Hornsea Offshore Platform 3 Substation,NORM4,NGET,a0l4L0000005in7,PRO-000434-2
Hornsea Offshore Platform 4 Substation,CREB4,NGET,a0l4L0000005in6,PRO-000435-1
Hornsea Offshore Platform 4 Substation,CREB4,NGET,a0l4L0000005in6,PRO-000435-2
Hornsea Platform 1A Offshore Substation,KILL4,NGET,a0l4L0000005isU,PRO-000315
Hornsea Platform 1B Offshore Substation,KILL4,NGET,a0l4L0000005isp,PRO-000331
Hornsea Platform 1C Offshore Substation,KILL4,NGET,a0l4L0000005isq,PRO-000332
Hornsea Platform 2A Offshore Substation,KILL4,NGET,a0l4L0000005isr,PRO-000333
Hornsea Platform 2B Offshore Substation,KILL4,NGET,a0l4L0000005iss,PRO-000334
Hornsea Power Station 2C Offshore platform Substation,KILL4,NGET,a0l4L0000005ist,PRO-000335
Humber Gateway 33/132kV Offshore Substation,HEDO2,OFTO,a0l4L0000005iqD,PRO-000214
Humber Refinery 400kV Substation,HUMR4,NGET,a0l4L0000005im7,PRO-000053
Humber Refinery 400kV Substation,HUMR4,NGET,a0l4L0000005iPc,PRO-000854
Hunningley 132kV Substation,0,NGET,a0l4L0000005iQU,PRO-001887
Hunterston 400kV Substation,0,SPT,a0l8e000000exYI,PRO-003735
Hunterston 400kV Substation,0,SPT,a0l8e000000TPBV,PRO-003182
Hunterston East 400kV substation,0,SPT,a0l4L0000005ibc,PRO-001090
Hunterston East 400kV Substation,0,SPT,a0l4L0000005iYk,PRO-001348
Hunterston Farm GSP,0,SPT,a0l8e000000TP9y,PRO-003165
Hutton 132kV Substation,HUTT1,NGET,a0l4L0000005iVk,PRO-000219
Hutton 400kV Substation,HUTT4,NGET,a0l8e0000010wjn,PRO-002804
Hutton 400kV Substation,HUTT4,NGET,a0l4L0000005iOx,PRO-001601
Imperial Park 400kV Substation,IMPP4,NGET,a0l8e000000TPS9,PRO-003425
Inch Cape Platform 2 220/66kV Offshore Substation,0,SPT,a0l4L0000005it4,PRO-000349
Indian Queens 400kV Substation,INDQ4,NGET,a0l4L0000005ix9,PRO-001676
Indian Queens 400kV Substation,INDQ4,NGET,a0l4L0000005iZD,PRO-001372
Indian Queens 400kV Substation,INDQ4,NGET,a0l4L0000005iqf,PRO-000225
Indian Queens 400kV Substation,INDQ4,NGET,a0l4L0000005iZC,PRO-001371
Indian Queens 400kV Substation,INDQ4,NGET,a0l4L0000005ivr,PRO-001133
Invergarry 132kV Substation,0,SHET,a0l4L0000005ip0,PRO-000171
Inverkeithing GSP,0,SPT,a0l4L0000005iTp,PRO-002065
Inverkeithing GSP,0,SPT,a0l4L0000005j9n,PRO-002528
Inverness GSP,0,SHET,a0l8e000001HoGb,PRO-004069
Inverness GSP,0,SHET,a0l4L0000005iVm,PRO-000232
Iron Acton 132kV Substation,IROA1,NGET,a0l8e000000eyu0,PRO-003784
Iron Acton 132kV Substation,IROA1,NGET,a0l8e000000f4Z0,PRO-003849
Iron Acton 275kV Substation,IROA2,NGET,a0l4L0000005inO,PRO-000455-1
Iron Acton 275kV Substation,IROA2,NGET,a0l4L0000005inO,PRO-000455-2
Iron Acton 275kV Substation,IROA2,NGET,a0l4L0000005iod,PRO-000491-1
Iron Acton 275kV Substation,IROA2,NGET,a0l4L0000005iod,PRO-000491-2
Iron Acton 275kV Substation,IROA2,NGET,a0l4L0000005iod,PRO-000491-3
Iron Acton 275kV Substation,IROA2,NGET,a0l8e000000ew2i,PRO-003647
Iron Acton 275kV Substation,IROA2,NGET,a0l8e000000ew2n,PRO-003648
Iron Acton 275kV Substation,IROA2,NGET,a0l8e000000ew2s,PRO-003649
Ironbridge 400kV Substation,IRON4,NGET,a0l8e0000011yCA,PRO-003511
Ironbridge 400kV Substation,IRON4,NGET,a0l4L0000005j9Y,PRO-002526
Ironbridge 400kV Substation,IRON4,NGET,a0l4L0000005iNV,PRO-001629
Ironbridge 400kV Substation,IRON4,NGET,a0l4L0000005igD,PRO-001711
Ironbridge 400kV Substation,IRON4,NGET,a0l4L0000005iyu,PRO-001359-1
Ironbridge 400kV Substation,IRON4,NGET,a0l4L0000005iyu,PRO-001359-2
Ironbridge 400kV Substation,IRON4,NGET,a0l4L0000005iyu,PRO-001359-3
Iver 275kV Substation,IVER2,NGET,a0l4L0000005ieN,PRO-001141
Iver 275kV Substation,IVER2,NGET,a0l8e000001HpeD,PRO-004134
Jubilee Farm 275kV Substation,0,NGET,a0l4L000002yQX9,PRO-002545
Jubilee Farm 275kV Substation,0,NGET,a0l4L000002yQa8,PRO-002557
Kaimes 275/33kV Substation,0,SPT,a0l4L0000005iT4,PRO-000942
Keadby 400kV Substation,KEAD4,NGET,a0l4L0000005iUy,PRO-000039
Keadby 400kV Substation,KEAD4,NGET,a0l4L0000005iq0,PRO-000199
Keadby 400kV Substation,KEAD4,NGET,a0l4L0000005iYv,PRO-001962
Keadby 400kV Substation,KEAD4,NGET,a0l4L0000005iZM,PRO-001980
Keadby 400kV Substation,KEAD4,NGET,a0l4L0000005isQ,PRO-000310
Keadby GSP,KEAD1,NGET,a0l4L0000005iVW,PRO-000164
Keadby GSP,KEAD1,NGET,a0l8e000000evgG,PRO-003634
Kearsley 132kV substation,KEAR1,NGET,a0l4L0000005iQD,PRO-001267
Kearsley 400kV Substation,KEAR4,NGET,a0l4L0000005iud,PRO-001064
Kearsley GSP,KEAR1,NGET,a0l4L0000005iyf,PRO-001793
Kegworth B 400kV Substation,0,NGET,a0l8e000000f4nF,PRO-003871
Kegworth B 400kV Substation,0,NGET,a0l8e0000010wTO,PRO-002622
Keith 1 132/33kV GSP Substation,0,SHET,a0l4L0000005ifT,PRO-001129-1
Keith 1 132/33kV GSP Substation,0,SHET,a0l4L0000005ifT,PRO-001129-2
Keith 1 132/33kV GSP Substation,0,SHET,a0l4L0000005iU5,PRO-001742
Keith GSP,0,SHET,a0l4L0000005iUA,PRO-001726
Keith GSP,0,SHET,a0l4L0000005iXV,PRO-001813
Keith GSP,0,SHET,a0l4L0000005iVz,PRO-000258
Keith GSP,0,SHET,a0l4L0000005iRi,PRO-000938
Keith Hill  33kV Substation,0,SPT,a0l4L0000005irF,PRO-000251
Keith Solar Farm 275kV Substation,0,SHET,a0l8e0000010waM,PRO-002699
Kellas Wind Farm 132kV Substation,0,SHET,a0l4L0000005iuZ,PRO-002271
Kelloe Mains 400kV Substation,0,SPT,a0l4L0000005itT,PRO-002425
Kellwood Road 33KV Substation,0,SPT,a0l8e000000exN8,PRO-003710
Kemsley 132kV Substation,KEMS1,NGET,a0l4L0000005iX2,PRO-002144
Kemsley 400kV Substation,KEMS4,NGET,a0l8e000000TPEF,PRO-003211
Kemsley 400kV Substation,KEMS4,NGET,a0l4L0000005iqk,PRO-000235
Kemsley 400kV Substation,KEMS4,NGET,a0l4L0000005iPR,PRO-001861
Kemsley 400kV Substation,KEMS4,NGET,a0l8e0000010wNp,PRO-002565
Kemsley GSP,KEMS1,NGET,a0l4L0000005iSm,PRO-001328
Kennoxhead GSP,0,SPT,a0l4L0000005isg,PRO-000319
Kergord GSP,0,SHET,a0l4L0000005isv,PRO-000338
Kilbraur Wind Farm Substation,0,SHET,a0l8e000000f6hC,PRO-003987
Kilbraur Wind Farm Substation,0,SHET,a0l4L0000005iqg,PRO-000226
Kilgallioch 275kV Substation,0,SPT,a0l4L0000005imc,PRO-000065-1
Kilgallioch 275kV Substation,0,SPT,a0l4L0000005imc,PRO-000065-2
Killin GSP,0,SHET,a0l8e00000120Nh,PRO-003627
Killin GSP,0,SHET,a0l4L0000005iQs,PRO-000893
Killingholme 400kV Substation,KILL4,NGET,a0l4L0000005ioT,PRO-000148-1
Killingholme 400kV Substation,KILL4,NGET,a0l4L0000005ioT,PRO-000148-2
Killingholme 400kV Substation,KILL4,NGET,a0l8e000000f4xD,PRO-003893
Killingholme 400kV Substation,KILL4,NGET,a0l4L0000005iaK,PRO-001038
Killingholme 400kV Substation,KILL4,NGET,a0l4L0000005iaF,PRO-002019
Kilmarnock South GSP,0,SPT,a0l4L0000005ikQ,PRO-001809
Kilmarnock South GSP,0,SPT,a0l4L0000005ieo,PRO-001687-1
Kilmarnock South GSP,0,SPT,a0l4L0000005ieo,PRO-001687-2
Kilmarnock Town 275/33kV Substation,0,SPT,a0l4L0000005iwS,PRO-001836
Kilmarnock Town 275/33kV Substation,0,SPT,a0l4L0000005iXb,PRO-000324
Kilmarnock Town GSP,0,SPT,a0l4L0000005iXs,PRO-002453
Kilmorack GSP,0,SPT,a0l4L0000005iUV,PRO-002431
Kilmorack GSP,0,SHET,a0l4L0000005ip1,PRO-000172
Kilwinning,0,SPT,a0l4L0000005iyI,PRO-002360
Kilwinning GSP,0,SPT,a0l4L0000005iQP,PRO-001881
Kilwinning GSP,0,SPT,a0l8e0000010wav,PRO-002706
Kincardine 275kV Substation,0,SPT,a0l4L0000005iyM,PRO-002368
Kincardine 275kV Substation,0,SPT,a0l8e00000120Ih,PRO-003619
Kincardine GSP,0,SPT,a0l8e000000TPAm,PRO-003173
Kincardine North 400kV Substation,0,SPT,a0l8e0000011yxG,PRO-003557
King's Lynn 400kV Substation,KLYN4,NGET,a0l4L0000005ivm,PRO-001054
Kingsnorth 400kV Substation,KINO4,NGET,a0l4L0000005iXw,PRO-002373
Kingsnorth 400kV Substation,KINO4,NGET,a0l4L0000005ieK,PRO-001056
Kingsnorth 400kV Substation,KINO4,NGET,a0l4L0000005iZ5,PRO-001360-1
Kingsnorth 400kV Substation,KINO4,NGET,a0l4L0000005iZ5,PRO-001360-2
Kingsnorth 400kV Substation,KINO4,NGET,a0l4L0000005iZ5,PRO-001360-3
Kingsnorth 400kV Substation,KINO4,NGET,a0l8e0000010wXV,PRO-002665
Kingsnorth GSP,KINO1,NGET,a0l4L0000005inn,PRO-000119
Kingsnorth GSP,KINO1,NGET,a0l4L0000005iwr,PRO-002097
Kingsnorth GSP,KINO1,NGET,a0l8e000000TPBQ,PRO-003181
Kintore 275kV,0,SHET,a0l4L0000005iaA,PRO-002014
Kintore GSP,0,SHET,a0l4L0000005iRk,PRO-000936
Kintore GSP,0,SHET,a0l4L0000005iU0,PRO-001493
Kintradwell 132/33kV Substation,0,SHET,a0l4L0000005iyw,PRO-001377
Kirkby 275kV Substation,KIBY2,NGET,a0l4L0000005ice,PRO-001084-1
Kirkby 275kV Substation,KIBY2,NGET,a0l4L0000005ice,PRO-001084-2
Kirkby 275kV Substation,KIBY2,NGET,a0l4L0000005icf,PRO-001083
Kirkby 275kV Substation,KIBY2,NGET,a0l4L0000005iPZ,PRO-001869
Kirkton Wind Farm 132kV Substation,0,SHET,a0l4L0000005ikR,PRO-001811
Knaresborough 275kV Substation,KNAR2,NGET,a0l8e000001Hpdt,PRO-004131
Knockcronal Wind Farm 33kV Substation,0,SPT,a0l4L0000005ikK,PRO-001801
Knocknagael 132kV Substation,0,SHET,a0l8e000000exNN,PRO-003712
Knocknagael 132kV Substation,0,SHET,a0l8e0000011zQ6,PRO-003584
L48 BESS Dams of Craigie,0,SHET,a0l8e000000f4ZK,PRO-003853
L48 BESS Glen App,0,SPT,a0l8e0000010xJ5,PRO-003058
Lackenby 400kV Substation,LACK4,NGET,a0l8e000001HrYt,PRO-004207
Lackenby GSP,LACK4,NGET,a0l4L0000005iPE,PRO-001847
Lackenby GSP,LACK4,NGET,a0l4L0000005imR,PRO-000409
Lackenby GSP,LACK6,NGET,a0l8e000000ewOd,PRO-003658
Lackenby GSP,LACK2,NGET,a0l4L0000005irs,PRO-000278
Lairdmannoch Energy Park 132kV substation,0,SPT,a0l8e000000eytl,PRO-003781
Lairg GSP,0,SHET,a0l4L0000005ibk,PRO-001434
Lairg GSP,0,SHET,a0l4L0000005iXp,PRO-001363-1
Lairg GSP,0,SHET,a0l4L0000005iXp,PRO-001363-2
Laleham 132kV Substation,LALE1,NGET,a0l8e000001Hxbb,PRO-004277
Laleham 275kV Substation,LALE2,NGET,a0l4L0000005iue,PRO-001063
Laleham GSP (SEPD),LALE1,NGET,a0l4L0000005iQR,PRO-001883
Lamford Hill 132kV/33kV Substation,0,SPT,a0l4L0000005izC,PRO-001481
Landulph 400kV Substation,LAND4,NGET,a0l4L0000005iyV,PRO-002379
Landulph 400kV Substation,LAND4,NGET,a0l4L0000005ifR,PRO-001131
Landulph 400kV Substation,LAND4,NGET,a0l8e0000010wOy,PRO-002581
Landulph 400kV Substation,LAND4,NGET,a0l4L0000005iYy,PRO-001968
Landulph GSP,LAND1,NGET,a0l4L0000005iUl,PRO-000362
Landulph GSP,LAND1,NGET,a0l4L0000005iUm,PRO-000363
Langage 400kV Substation,LAGA4,NGET,a0l4L0000005itv,PRO-000200
Langage 400kV Substation,LAGA4,NGET,a0l4L0000005itl,PRO-002192-1
Langage 400kV Substation,LAGA4,NGET,a0l4L0000005itl,PRO-002192-2
Langage 400kV Substation,LAGA4,NGET,a0l4L0000005itl,PRO-002192-3
Langage 400kV Substation,LAGA4,NGET,a0l4L0000005iaC,PRO-002016
Langage 400kV Substation,LAGA4,NGET,a0l4L000002yQaS,PRO-002561
Lawfield and Branxton Energy Park 400kV Substation,0,SPT,a0l4L0000005iu5,PRO-002229
Learney Teed 132kV,0,SHET,a0l8e000000TPI2,PRO-003241
Lechlade GSP,0,NGET,a0l8e000001Hxm2,PRO-004296
Legacy 400kV Substation,LEGA4,NGET,a0l4L0000005izn,PRO-002193-1
Legacy 400kV Substation,LEGA4,NGET,a0l4L0000005izn,PRO-002193-2
Legacy 400kV Substation,LEGA4,NGET,a0l4L0000005izn,PRO-002193-3
Legacy 400kV Substation,LEGA4,NGET,a0l4L0000005idL,PRO-001662-1
Legacy 400kV Substation,LEGA4,NGET,a0l4L0000005idL,PRO-001662-2
Legacy 400kV Substation,LEGA4,NGET,a0l4L0000005idL,PRO-001662-3
Legacy 400kV Substation,LEGA4,NGET,a0l4L0000005izM,PRO-001171
Legacy 400kV Substation,LEGA4,NGET,a0l4L0000005ixJ,PRO-001050
Leighton Buzzard 400kV Substation,LEIB4,NGET,a0l8e000000TPR0,PRO-003411
Lethans 132kV Substation,0,SPT,a0l4L0000005iZ9,PRO-001367
Lethans 132kV Substation,0,SPT,a0l8e0000011ywS,PRO-003553
Lethen Wind Farm 132/33kV Substation,0,SHET,a0l4L0000005ivM,PRO-002307
LGB300 400KV Substation,0,SHET,a0l8e000000f52S,PRO-003907
Limekilns 132/33kV substation,0,SHET,a0l4L0000005itV,PRO-000515
Lincs 33/132kV Offshore Substation,WALP4,OFTO,a0l4L0000005iqE,PRO-000215
Linmill 132/33kV Substation,0,SPT,a0l4L0000005iWT,PRO-000010
Linmill 132/33kV Substation,0,SPT,a0l4L0000005iUp,PRO-000016
Lister Drive 132kV Substation,LISD1,NGET,a0l4L0000005iXS,PRO-001257
Lister Drive 275kV Substation,LISD2,NGET,a0l4L0000005iz9,PRO-001088
Lister Drive 275kV Substation,LISD2,NGET,a0l4L0000005iOd,PRO-001248
Little Harrowden 400kV,0,NGET,a0l8e000000TPRP,PRO-003416
Little Horsted 400kV Substation,LHOR4,NGET,a0l8e000000eykz,PRO-003776
Little Horsted 400kV Substation,LHOR4,NGET,a0l8e000000eyl4,PRO-003777
Little Horsted 400kV Substation,LHOR4,NGET,a0l8e000000eyl5,PRO-003778
Little Horsted 400kV Substation,LHOR4,NGET,a0l8e000000exRk,PRO-003715
Little Horsted 400kV Substation,LHOR4,NGET,a0l8e00000120NS,PRO-003624
Little Horsted GSP,LHOR1,NGET,a0l4L0000005iuA,PRO-002214
Littlebrook 400kV Substation,LITT4,NGET,a0l8e000000exSO,PRO-003723
Littlebrook 400kV Substation,LITT4,NGET,a0l4L0000005iWg,PRO-001832
Littlewoods Wind Farm 132/33kV,0,SHET,a0l4L0000005iNo,PRO-001825
Livingston East GSP,0,SPT,a0l4L0000005iVl,PRO-000230
Llanteg 400kV Substatio,0,NGET,a0l8e000000exS4,PRO-003719
Loch Fearna Pumped Storage 132/18kV,0,SHET,a0l8e0000010wOJ,PRO-002569
Loch Kemp 275kV substation,0,SHET,a0l4L0000005iwW,PRO-002285
Loch Kemp 275kV substation,0,SHET,a0l4L0000005ix2,PRO-001559
Loch Liath 132/33kV Substation,0,SHET,a0l4L0000005idS,PRO-001671
Loch Luichart Extension II Substation,0,SHET,a0l4L0000005inU,PRO-000487
Loch Nan Eun 275/18kV,0,SHET,a0l4L0000005ic7,PRO-002063
