Connection Site,etys_sub_map,HOST TO,Project ID,Project No
Bolney 400kV Substation,BOLN4,NGET,a0l4L0000005ilr,PRO-000380-1
Bolney 400kV Substation,BOLN4,NGET,a0l4L0000005ilr,PRO-000380-2
Bolney 400kV Substation,BOLN4,NGET,a0l8e000000f8NW,PRO-004026
Bolney 400kV Substation,BOLN4,NGET,a0l8e0000010wYE,PRO-002674
Bolney 400kV Substation,BOLN4,NGET,a0l8e0000010wdQ,PRO-002733
Bolney 400kV Substation,BOLN4,NGET,a0l8e000000f6AL,PRO-003966
Bolney 400kV Substation,BOLN4,NGET,a0l8e000000TPHi,PRO-003237
Bolney 400kV Substation,BOLN4,NGET,a0l4L0000005iVf,PRO-000192
Bolney 400kV Substation,BOLN4,NGET,a0l4L0000005iVf,PRO-000192-1
Bolney 400kV Substation,BOLN4,NGET,a0l4L0000005iVf,PRO-000192-2
Bolney 400kV Substation,BOLN4,NGET,a0l4L0000005iVf,PRO-000192-3
Bolney GSP,BOLN1,NGET,a0l4L0000005iXE,PRO-002308
Bonnybridge GSP,0,SPT,a0l4L0000005iWa,PRO-001912
Borders Windfarm 132kV,0,SPT,a0l4L0000005iZK,PRO-001977
Botley 400kV Substation,BOTW4,NGET,a0l8e0000010wP7,PRO-002580
Botley West 400kV Substation,COWL4,NGET,a0l4L0000005ijz,PRO-001587
Botley West 400kV Substation,COWL4,NGET,a0l8e000000ewwx,PRO-003695
Braco West GSP,0,SHET,a0l4L0000005iV9,PRO-000084
Bradford West 275kV Substation,BRAW2,NGET,a0l4L0000005iQL,PRO-001874
Bradford West 275kV Substation,BRAW2,NGET,a0l4L000002yQWu,PRO-002544
Bradford West 275kV Substation,BRAW2,NGET,a0l4L0000005iMO,PRO-002338
Bradford West GSP,BRAW1,NGET,a0l8e000000f5Bd,PRO-003917
Braehead Park GSP,0,SPT,a0l8e0000010xh3,PRO-003083
Braintree 400kV Substation,BRAI4,NGET,a0l8e000000TPQg,PRO-003406
Braintree 400kV Substation,BRAI4,NGET,a0l4L0000005iZf,PRO-001042
Braintree 400kV Substation,BRAI4,NGET,a0l4L0000005iZe,PRO-001043
Bramford 400kV Substation,BRFO4,NGET,a0l4L0000005iaq,PRO-001416
Bramford 400kV Substation,BRFO4,NGET,a0l4L0000005iy5,PRO-001016
Bramford 400kV Substation,BRFO4,NGET,a0l8e0000010wO9,PRO-002568
Bramford 400kV Substation,BRFO4,NGET,a0l4L0000005icD,PRO-002071
Bramford 400kV Substation,BRFO4,NGET,a0l8e000000f8Ng,PRO-004027
Bramford 400kV Substation,BRFO4,NGET,a0l4L0000005ibE,PRO-002040
Bramford 400kV Substation,BRFO4,NGET,a0l4L0000005ilN,PRO-000397-1
Bramford 400kV Substation,BRFO4,NGET,a0l4L0000005ilN,PRO-000397-2
Bramford 400kV Substation,BRFO4,NGET,a0l8e000000exSY,PRO-003725
Bramford 400kV Substation,BRFO4,NGET,a0l8e000000f42R,PRO-003835
Bramford 400kV Substation,BRFO4,NGET,a0l4L0000005iVp,PRO-000237
Bramford GSP,BRFO1,NGET,a0l4L0000005iWe,PRO-002201
Bramley,BRLE4,NGET,a0l8e0000010wg0,PRO-002763
Bramley 400kV Substation,BRLE4,NGET,a0l4L0000005ilO,PRO-000396
Bramley 400kV Substation,BRLE4,NGET,a0l4L0000005igr,PRO-001104-1
Bramley 400kV Substation,BRLE4,NGET,a0l4L0000005igr,PRO-001104-2
Bramley 400kV Substation,BRLE4,NGET,a0l8e0000010wda,PRO-002735
Bramley 400kV Substation,BRLE4,NGET,a0l4L0000005iXn,PRO-000870
Branxton 132kV,0,SPT,a0l8e0000010wly,PRO-002828
Branxton 400kV Substation,0,SPT,a0l4L0000005ida,PRO-002076
Branxton 400kV Substation,0,SPT,a0l4L0000005itP,PRO-002122
Branxton 400kV Substation,0,SPT,a0l4L0000005iuu,PRO-002208
Braybrooke (Network Rail) GSP,BRAY4,NGET,a0l4L0000005itZ,PRO-002207
Braybrooke 400kV Substation,BRAY4,NGET,a0l4L0000005ikb,PRO-002427
Braybrooke 400kV Substation,BRAY4,NGET,a0l8e000000f6pc,PRO-003989
Breakish 132/33kV,0,SHET,a0l4L0000005ikh,PRO-002170-1
Breakish 132/33kV,0,SHET,a0l4L0000005ikh,PRO-002170-2
Bredbury 275kV Substation,BRED2,NGET,a0l4L0000005iZg,PRO-001041
Bridge of Dun GSP,0,SHET,a0l4L0000005iVv,PRO-000252
Bridgewater 400kV Substation,BRWA4,NGET,a0l4L0000005ilP,PRO-000375
Bridgewater 400kV Substation,BRWA4,NGET,a0l4L0000005iYj,PRO-001347
Bridgwater 400/132kV Substation,BRWA4,NGET,a0l4L0000005izg,PRO-000245
Brimsdown 132kV Substation,BRIM1,NGET,a0l4L0000005ioS,PRO-000147
Brinsworth 275kV Substation,BRIN2,NGET,a0l4L0000005iQb,PRO-001894
Brinsworth 400kV Substation,BRIN4,NGET,a0l8e000000f41J,PRO-003821
Broken Cross Windfarm,0,SPT,a0l4L0000005ilQ,PRO-000395
Broxburn GSP,0,SPT,a0l4L0000005iTt,PRO-001667
Broxburn GSP,0,SPT,a0l4L0000005jA7,PRO-002531
Buchan 01 275/66kV Substation,0,SHET,a0l4L0000005izL,PRO-001528
Bulls Lodge 400kV Substation,BULL4,NGET,a0l8e0000010wYO,PRO-002676
Bulls Lodge 400kV Substation,BULL4,NGET,a0l8e0000010wdk,PRO-002737
Bulls Lodge 400kV Substation,BULL4,NGET,a0l4L0000005ivq,PRO-001053
BURBO BANK EXTENSION OFFSHORE Substation,BODE4,NGET,a0l4L0000005ilR,PRO-000394
Burwell 400kV Substation,BURW4,NGET,a0l4L0000005ixl,PRO-001019
Burwell 400kV Substation,BURW4,NGET,a0l8e000000f5cW,PRO-003937
Burwell GSP,BURW1,NGET,a0l4L0000005iVD,PRO-000088
Burwell Main 400kV Substation,BURW4,NGET,a0l4L0000005ixn,PRO-001018
Burwell Main 400kV Substation,BURW4,NGET,a0l4L0000005ixm,PRO-001109
Burwell Main 400kV Substation,BURW4,NGET,a0l8e000000f4n5,PRO-003869
Burwell Main 400kV Substation,BURW4,NGET,a0l4L0000005ilS,PRO-000393
Burwell Main 400kV Substation,BURW4,NGET,a0l4L0000005iXk,PRO-001655-1
Burwell Main 400kV Substation,BURW4,NGET,a0l4L0000005iXk,PRO-001655-2
Burwell South 400kV Substation,BURW4,NGET,a0l8e000000exSE,PRO-003721
Burwell South 400kV Substation,BURW4,NGET,a0l8e000000f4xC,PRO-003892
Busby 275kV,0,SPT,a0l8e000000TPLz,PRO-003267
Bushbury 275kV Substation,BUSH2,NGET,a0l8e000000TPQv,PRO-003409
Bushbury GSP,BUSH1,NGET,a0l4L0000005iRT,PRO-001907
Bustleholm 132kV Substation,BUST1,NGET,a0l4L0000005iOi,PRO-001243
Bustleholm GSP,BUST1,NGET,a0l4L0000005iZi,PRO-001039
Butlers Wood 400kV Substation,BUTW4,NGET,a0l8e000000f64W,PRO-003946
Butlers Wood 400kV Substation,BUTW4,NGET,a0l4L0000005ixp,PRO-002416
Cairnford GSP,0,SHET,a0l4L0000005iV1,PRO-000041
Cairnford GSP,0,SHET,a0l8e0000010x1D,PRO-003045
Calderside 275kV Substation,0,SPT,a0l8e0000010wex,PRO-002752
Callisterhall 132kV,0,SPT,a0l4L0000005iYx,PRO-001965
Camblesforth 66kV Substation,DRAX4,NGET,a0l4L0000005iVX,PRO-000166
Canterbury North 400kV Substation,CANT4,NGET,a0l8e000000TPRF,PRO-003414
Canterbury North 400kV Substation,CANT4,NGET,a0l4L0000005iaT,PRO-001029-1
Canterbury North 400kV Substation,CANT4,NGET,a0l4L0000005iaT,PRO-001029-2
Capenhurst 275kV Substation,CAPE2,NGET,a0l4L0000005ikT,PRO-002162
Capenhurst 275kV Substation,CAPE2,NGET,a0l4L0000005ioi,PRO-000540-1
Capenhurst 275kV Substation,CAPE2,NGET,a0l4L0000005ioi,PRO-000540-2
Capenhurst 275kV Substation,CAPE2,NGET,a0l4L0000005iwG,PRO-001349
Capenhurst 275kV Substation,CAPE2,NGET,a0l4L0000005iaU,PRO-001028
Capenhurst 275kV Substation,CAPE2,NGET,a0l4L0000005iRC,PRO-001312
Capenhurst 275kV Substation,CAPE2,NGET,a0l4L0000005iib,PRO-001557
Capenhurst GSP,CAPE1,NGET,a0l8e000000f6bL,PRO-003983
Car Duibh 275kV Substation,0,SHET,a0l4L0000005iMQ,PRO-002342
Carmarthen 400kV Substation,CAMA4,NGET,a0l8e000000eyX9,PRO-003761
Carn Fearna Wind Farm 132/33kV Substation,0,SHET,a0l4L0000005ivT,PRO-002231
Carnegie Road Substation,LISD2,NGET,a0l4L0000005izr,PRO-001342
Carntyne GSP,0,SPT,a0l8e000000TPBG,PRO-003179
Carradale 1 GSP,0,SHET,a0l4L0000005iUu,PRO-000028
Carradale 1 GSP,0,SHET,a0l4L0000005iUv,PRO-000029
Carradale 1 GSP,0,SHET,a0l4L0000005iUz,PRO-000038
Carradale 1 GSP,0,SHET,a0l4L0000005iSH,PRO-001926
Carradale 1 GSP,0,SHET,a0l4L0000005iT2,PRO-000944
Carraig Gheal 132/33kV Substation,0,SHET,a0l4L0000005inA,PRO-000091
Carrick Wind Farm Substation,0,SPT,a0l4L0000005iaW,PRO-001026
Carrington 275kV Substation,CARR2,NGET,a0l4L0000005iaX,PRO-001025
Carrington 400KV Substation,CARR4,NGET,a0l4L0000005izZ,PRO-000542
Carrington 400KV Substation,CARR4,NGET,a0l4L0000005ipr,PRO-000549
Carrington 400KV Substation,CARR4,NGET,a0l4L0000005izi,PRO-000276-1
Carrington 400KV Substation,CARR4,NGET,a0l4L0000005izi,PRO-000276-2
Carrington GSP (SP Manweb),CARR1,NGET,a0l4L0000005ivu,PRO-000092
Carrington GSP (SP Manweb),CARR1,NGET,a0l4L0000005iPh,PRO-000849
Casewick 400kV Substation,RYHA4,NGET,a0l8e0000010wZ2,PRO-002684
Casewick 400kV Substation,RYHA4,NGET,a0l8e0000012eoU,PRO-004379
