,GSP,DemandPk,DemandAM,DemandPM
548,T_CORM_RTK,22.513,22.513,22.513
549,T_DALRD-1,5.128,5.128,5.128
550,T_ECCFD-1,2.559,2.559,2.559
551,T_EGLSD-1,8.984,8.984,8.984
552,T_ELSTR-1,11.271,11.271,11.271
553,T_ELVAD-1,5.471,5.471,5.471
554,T_EXMOSSD-1,12.597,12.597,12.597
555,T_FOXJD-1,6.217,6.217,6.217
556,T_FOXJD-2,0.0,0.0,0.0
557,T_FROD_NR,9.76,9.76,9.76
558,T_GLNG,13.1,13.1,13.1
559,T_GNHLD-1,0.0,0.0,0.0
560,T_GNHLD-2,0.0,0.0,0.0
561,T_GNHLD-3,0.0,0.0,0.0
562,T_GOWKD-1,7.953,7.953,7.953
563,T_HARK_NR,5.983,5.983,5.983
564,T_HPC-CES,0.0,0.0,0.0
565,T_IMPRK-1,0.0,0.0,0.0
566,T_IMPRK-2,0.0,0.0,0.0
567,T_INWID-1,3.453,3.453,3.453
568,T_KSGND-1,0.0,0.0,0.0
569,T_KSGND-2,0.0,0.0,0.0
570,T_LBUZ_RTK,29.246,29.246,29.246
571,T_LLWSD-1,17.188,17.188,17.188
572,T_LONGB-RTK,17.315,17.315,17.315
573,T_MARMD-1,2.735,2.735,2.735
574,T_MEADD-1,20.484,20.484,20.484
575,T_MOSED-1,20.752,20.752,20.752
576,T_NWCRS-1,0.0,0.0,0.0
577,T_NWCRS-2,0.0,0.0,0.0
578,T_OXEN_NR,9.239,9.239,9.239
579,T_PARHD-1,4.066,4.066,4.066
580,T_PATB_RTK,9.458,9.458,9.458
581,T_POOBD-1,4.291,4.291,4.291
582,T_POPP_3RTK,4.175,4.175,4.175
583,T_PORGD-1,1.511,1.511,1.511
584,T_PUDMD-1,0.0,0.0,0.0
585,T_PUDMD-2,0.0,0.0,0.0
586,T_RAVED-1,2.966,2.966,2.966
587,T_RYHAD-1,1.696,1.696,1.696
588,T_RYHAD-2,0.0,0.0,0.0
589,T_SACOD-1,3.964,3.964,3.964
590,T_SELL-1,16.487,16.487,16.487
591,T_SFGSD-1,25.0,25.0,25.0
592,T_SFGSD-2,21.0,21.0,21.0
593,T_SINGL1,9.993,9.993,9.993
594,T_SNDND-1,0.0,0.0,0.0
595,T_SNDND-2,0.0,0.0,0.0
596,T_STBRD-1,0.0,0.0,0.0
597,T_STFERGD-1,8.184,8.184,8.184
598,T_THNJD-1,0.0,0.0,0.0
599,T_THNJD-2,0.0,0.0,0.0
600,T_TINSD-1,42.484,42.484,42.484
601,T_TODSD-1,8.12,8.12,8.12
602,T_WHISTLD-1,25.0,25.0,25.0
603,T_WILCT-1,2.3,2.3,2.3
604,T__HYELT002,0.0,0.0,0.0
605,T__KYELT003,66.116,66.116,66.116
606,T__MYELT001,71.721,71.721,71.721
607,UPPB_1,175.87099999999998,62.56,103.931
608,UPPB_3,51.278,5.073,34.511
609,USKM_1,218.65099999999998,95.18100000000001,121.36700000000002
610,WABO,37.056,93.239,54.413000000000004
611,WALH_1,351.376,152.269,238.436
612,WALP_1,450.466,203.615,291.914
613,WALP_B,484.71400000000006,35.953,186.107
614,WARL_1,247.959,50.8,90.348
615,WASF_1,126.08500000000001,44.944,51.969
616,WATFS_1,244.662,95.388,123.046
617,WBOL_6,207.95999999999998,61.106,88.789
618,WBUR_1,190.076,55.611999999999995,114.31
619,WFIE,27.829,8.41,17.683
620,WGEO,43.119,17.709,37.736000000000004
621,WHAM_1,246.3373,112.9183,128.5856
622,WHGA_1,249.345,79.113,152.372
623,WHHO,46.193,16.472,34.163
624,WIBA_3,34.662,0.16099999999999998,22.8
625,WIEN_1,123.392,33.033,50.549
626,WILL_1,474.40200000000004,189.76300000000003,255.995
627,WIMBN1,114.768,33.361000000000004,46.478
628,WIMBS1,468.637,153.49200000000002,218.676
629,WIOW_P,29.308,9.957,13.696
630,WISD_1,220.046,79.092,106.472
631,WISD_6,60.691,20.431,29.243
632,WISH,66.896,17.541,36.348
633,WMEL_1,509.81100000000004,193.636,255.239
634,WOHI_P,37.708,11.479000000000001,15.929
635,WTHU31,46.213,20.435000000000002,21.086
636,WWEY_1,365.335,109.769,153.566
637,WYLF_1,47.245,20.162,25.493000000000002
638,WYMOM_1,249.575,65.421,66.345
